from_station,to_station,departure,arrival,stops,price,ticket_type,train_type
Frankfurt,Munich,2018-11-10 19:45:37.337841,2018-11-11 00:45:37.337841,0,83,Flexipreis,RB
Hamburg,Köln,2018-11-10 23:45:37.337841,2018-11-10 23:45:37.337841,0,62,Flexipreis,SBAHN
Hamburg,Berlin,2018-11-10 17:45:37.337841,2018-11-10 18:45:37.337841,1,40,chidamba,SBAHN
Hamburg,Munich,2018-11-10 19:45:37.337841,2018-11-11 00:45:37.337841,0,38,Sparpreis,RB
Köln,Munich,2018-11-10 22:45:37.337841,2018-11-11 00:45:37.337841,0,23,chidamba,ICE
Hamburg,Berlin,2018-11-10 21:45:37.337841,2018-11-11 02:45:37.337841,2,189,Flexipreis,SBAHN
Hamburg,Berlin,2018-11-10 18:45:37.337841,2018-11-10 20:45:37.337841,0,106,chidamba,ICE
Munich,Berlin,2018-11-10 23:45:37.337841,2018-11-11 01:45:37.337841,1,232,chidamba,ICE
Frankfurt,Munich,2018-11-10 18:45:37.337841,2018-11-11 00:45:37.337841,1,100,chidamba,SBAHN
Berlin,Munich,2018-11-10 20:45:37.337841,2018-11-10 20:45:37.337841,0,152,Sparpreis,RB
Berlin,Frankfurt,2018-11-10 22:45:37.337841,2018-11-11 01:45:37.337841,2,99,chidamba,RB
Frankfurt,Köln,2018-11-10 20:45:37.337841,2018-11-11 02:45:37.337841,2,87,Flexipreis,ICE
Munich,Hamburg,2018-11-10 20:45:37.337841,2018-11-10 21:45:37.337841,0,27,Flexipreis,RB
Frankfurt,Munich,2018-11-10 21:45:37.337841,2018-11-11 00:45:37.337841,2,119,chidamba,RB
Munich,Frankfurt,2018-11-10 20:45:37.337841,2018-11-11 01:45:37.337841,2,108,chidamba,RB
Hamburg,Frankfurt,2018-11-10 20:45:37.337841,2018-11-10 21:45:37.337841,1,224,Sparpreis,ICE
Hamburg,Frankfurt,2018-11-10 21:45:37.337841,2018-11-11 03:45:37.337841,2,239,Sparpreis,ICE
Köln,Munich,2018-11-10 19:45:37.337841,2018-11-10 19:45:37.337841,1,121,FrankLu,ICE
Munich,Berlin,2018-11-10 17:45:37.337841,2018-11-10 20:45:37.337841,1,243,FrankLu,RB
Hamburg,Köln,2018-11-10 22:45:37.337841,2018-11-10 23:45:37.337841,1,19,FrankLu,SBAHN
Munich,Köln,2018-11-10 21:45:37.337841,2018-11-10 21:45:37.337841,2,259,FrankLu,RB
Hamburg,Berlin,2018-11-10 22:45:37.337841,2018-11-11 03:45:37.337841,0,150,FrankLu,RB
Munich,Köln,2018-11-10 19:45:37.337841,2018-11-10 20:45:37.337841,2,198,Sparpreis,RB
Köln,Munich,2018-11-10 18:45:37.337841,2018-11-10 21:45:37.337841,2,34,chidamba,RB
Köln,Munich,2018-11-10 19:45:37.337841,2018-11-10 21:45:37.337841,0,203,Sparpreis,RB
Köln,Berlin,2018-11-10 21:45:37.337841,2018-11-10 22:45:37.337841,2,229,FrankLu,SBAHN
Berlin,Köln,2018-11-10 19:45:37.337841,2018-11-10 22:45:37.337841,1,221,Flexipreis,RB
Frankfurt,Munich,2018-11-10 22:45:37.337841,2018-11-11 00:45:37.337841,0,131,Sparpreis,SBAHN
Hamburg,Köln,2018-11-10 19:45:37.337841,2018-11-10 22:45:37.337841,0,260,Sparpreis,RB
Berlin,Munich,2018-11-10 20:45:37.337841,2018-11-11 02:45:37.337841,2,191,Flexipreis,SBAHN
Berlin,Hamburg,2018-11-10 21:45:37.337841,2018-11-10 23:45:37.337841,2,171,Sparpreis,ICE
Hamburg,Köln,2018-11-10 19:45:37.337841,2018-11-10 22:45:37.337841,2,187,Flexipreis,RB
Munich,Frankfurt,2018-11-10 23:45:37.337841,2018-11-11 05:45:37.337841,0,105,Flexipreis,SBAHN
Köln,Munich,2018-11-10 21:45:37.337841,2018-11-11 03:45:37.337841,2,88,chidamba,RB
Munich,Berlin,2018-11-10 23:45:37.337841,2018-11-11 01:45:37.337841,0,81,chidamba,ICE
Hamburg,Köln,2018-11-10 18:45:37.337841,2018-11-10 18:45:37.337841,0,263,chidamba,ICE
Berlin,Munich,2018-11-10 17:45:37.337841,2018-11-10 23:45:37.337841,2,219,Flexipreis,RB
Frankfurt,Köln,2018-11-10 22:45:37.337841,2018-11-11 02:45:37.337841,0,101,Sparpreis,SBAHN
Munich,Köln,2018-11-10 22:45:37.337841,2018-11-11 01:45:37.337841,2,228,Sparpreis,ICE
Frankfurt,Munich,2018-11-10 18:45:37.337841,2018-11-10 21:45:37.337841,1,103,chidamba,SBAHN
Berlin,Frankfurt,2018-11-10 18:45:37.337841,2018-11-10 20:45:37.337841,1,107,FrankLu,RB
Hamburg,Munich,2018-11-10 22:45:37.337841,2018-11-11 04:45:37.337841,1,144,Flexipreis,ICE
Köln,Frankfurt,2018-11-10 17:45:37.337841,2018-11-10 18:45:37.337841,1,90,FrankLu,SBAHN
Frankfurt,Berlin,2018-11-10 19:45:37.337841,2018-11-10 21:45:37.337841,1,180,Flexipreis,RB
Köln,Munich,2018-11-10 21:45:37.337841,2018-11-11 01:45:37.337841,1,29,FrankLu,RB
Köln,Frankfurt,2018-11-10 22:45:37.337841,2018-11-10 22:45:37.337841,0,124,Sparpreis,SBAHN
Frankfurt,Berlin,2018-11-10 23:45:37.337841,2018-11-11 03:45:37.337841,2,89,chidamba,RB
Köln,Munich,2018-11-10 20:45:37.337841,2018-11-11 01:45:37.337841,2,113,FrankLu,SBAHN
Frankfurt,Berlin,2018-11-10 20:45:37.337841,2018-11-11 02:45:37.337841,0,208,Sparpreis,SBAHN
Frankfurt,Berlin,2018-11-10 17:45:37.337841,2018-11-10 21:45:37.337841,1,215,FrankLu,SBAHN
Munich,Köln,2018-11-10 18:45:37.337841,2018-11-10 23:45:37.337841,0,92,Sparpreis,RB
Frankfurt,Munich,2018-11-10 21:45:37.337841,2018-11-11 01:45:37.337841,1,193,FrankLu,RB
Berlin,Köln,2018-11-10 21:45:37.337841,2018-11-11 02:45:37.337841,1,148,Sparpreis,SBAHN
Köln,Frankfurt,2018-11-10 19:45:37.337841,2018-11-11 01:45:37.337841,1,241,Sparpreis,ICE
Köln,Frankfurt,2018-11-10 23:45:37.337841,2018-11-11 05:45:37.337841,0,249,Flexipreis,SBAHN
Hamburg,Berlin,2018-11-10 18:45:37.337841,2018-11-10 18:45:37.337841,0,135,FrankLu,SBAHN
Frankfurt,Berlin,2018-11-10 19:45:37.337841,2018-11-10 20:45:37.337841,2,89,FrankLu,RB
Berlin,Frankfurt,2018-11-10 22:45:37.337841,2018-11-11 02:45:37.337841,0,207,Sparpreis,RB
Frankfurt,Munich,2018-11-10 19:45:37.337841,2018-11-10 22:45:37.337841,1,128,Sparpreis,RB
Frankfurt,Munich,2018-11-10 17:45:37.337841,2018-11-10 17:45:37.337841,0,239,Sparpreis,SBAHN
Frankfurt,Munich,2018-11-10 23:45:37.337841,2018-11-11 00:45:37.337841,0,207,Flexipreis,SBAHN
Berlin,Köln,2018-11-10 22:45:37.337841,2018-11-11 04:45:37.337841,2,243,Flexipreis,ICE
Frankfurt,Berlin,2018-11-10 23:45:37.337841,2018-11-11 02:45:37.337841,1,165,chidamba,RB
Munich,Hamburg,2018-11-10 17:45:37.337841,2018-11-10 21:45:37.337841,2,70,FrankLu,RB
Köln,Hamburg,2018-11-10 18:45:37.337841,2018-11-10 22:45:37.337841,1,167,Flexipreis,ICE
Munich,Frankfurt,2018-11-10 18:45:37.337841,2018-11-10 22:45:37.337841,1,218,FrankLu,RB
Hamburg,Munich,2018-11-10 18:45:37.337841,2018-11-10 18:45:37.337841,0,63,chidamba,RB
Munich,Hamburg,2018-11-10 20:45:37.337841,2018-11-10 20:45:37.337841,1,84,Flexipreis,SBAHN
Hamburg,Munich,2018-11-10 19:45:37.337841,2018-11-10 21:45:37.337841,1,22,FrankLu,RB
Köln,Hamburg,2018-11-10 17:45:37.337841,2018-11-10 21:45:37.337841,1,153,chidamba,RB
Berlin,Köln,2018-11-10 22:45:37.337841,2018-11-10 22:45:37.337841,1,181,FrankLu,RB
Munich,Frankfurt,2018-11-10 18:45:37.337841,2018-11-10 23:45:37.337841,2,101,chidamba,SBAHN
Köln,Munich,2018-11-10 17:45:37.337841,2018-11-10 17:45:37.337841,1,144,Flexipreis,ICE
Hamburg,Munich,2018-11-10 23:45:37.337841,2018-11-11 04:45:37.337841,2,51,Flexipreis,SBAHN
Berlin,Frankfurt,2018-11-10 18:45:37.337841,2018-11-10 21:45:37.337841,1,81,chidamba,RB
Frankfurt,Hamburg,2018-11-10 18:45:37.337841,2018-11-10 22:45:37.337841,0,203,Sparpreis,ICE
Berlin,Munich,2018-11-10 22:45:37.337841,2018-11-10 22:45:37.337841,2,92,Flexipreis,RB
Hamburg,Köln,2018-11-10 19:45:37.337841,2018-11-11 01:45:37.337841,0,135,chidamba,RB
Frankfurt,Hamburg,2018-11-10 23:45:37.337841,2018-11-11 04:45:37.337841,2,171,Sparpreis,ICE
Hamburg,Berlin,2018-11-10 22:45:37.337841,2018-11-10 22:45:37.337841,0,255,Sparpreis,SBAHN
Frankfurt,Berlin,2018-11-10 17:45:37.337841,2018-11-10 17:45:37.337841,2,29,Flexipreis,SBAHN
Munich,Berlin,2018-11-10 18:45:37.337841,2018-11-10 20:45:37.337841,0,29,FrankLu,ICE
Berlin,Köln,2018-11-10 17:45:37.337841,2018-11-10 23:45:37.337841,0,210,Sparpreis,ICE
Munich,Frankfurt,2018-11-10 17:45:37.337841,2018-11-10 20:45:37.337841,1,247,Sparpreis,RB
Hamburg,Köln,2018-11-10 18:45:37.337841,2018-11-10 18:45:37.337841,2,141,Sparpreis,RB
Köln,Hamburg,2018-11-10 20:45:37.337841,2018-11-11 02:45:37.337841,0,213,FrankLu,RB
Berlin,Frankfurt,2018-11-10 17:45:37.337841,2018-11-10 17:45:37.337841,2,129,chidamba,ICE
Frankfurt,Hamburg,2018-11-10 21:45:37.337841,2018-11-11 02:45:37.337841,2,101,FrankLu,SBAHN
Berlin,Frankfurt,2018-11-10 22:45:37.337841,2018-11-11 03:45:37.337841,2,93,Flexipreis,ICE
Frankfurt,Munich,2018-11-10 22:45:37.337841,2018-11-10 23:45:37.337841,2,247,Flexipreis,RB
Berlin,Munich,2018-11-10 20:45:37.337841,2018-11-10 20:45:37.337841,2,52,chidamba,ICE
Frankfurt,Berlin,2018-11-10 21:45:37.337841,2018-11-11 01:45:37.337841,2,149,chidamba,SBAHN
Munich,Frankfurt,2018-11-10 23:45:37.337841,2018-11-11 01:45:37.337841,2,246,Flexipreis,ICE
Munich,Hamburg,2018-11-10 21:45:37.337841,2018-11-10 22:45:37.337841,1,163,FrankLu,RB
Munich,Köln,2018-11-10 23:45:37.337841,2018-11-11 00:45:37.337841,2,83,Sparpreis,RB
Frankfurt,Munich,2018-11-10 21:45:37.337841,2018-11-11 02:45:37.337841,1,131,FrankLu,RB
Berlin,Munich,2018-11-10 20:45:37.337841,2018-11-10 22:45:37.337841,2,53,Sparpreis,RB
Hamburg,Köln,2018-11-10 21:45:37.337841,2018-11-11 02:45:37.337841,0,236,Flexipreis,RB
Berlin,Köln,2018-11-10 17:45:37.337841,2018-11-10 19:45:37.337841,1,46,chidamba,ICE
Berlin,Munich,2018-11-10 21:45:37.337841,2018-11-11 01:45:37.337841,1,224,Flexipreis,ICE
