"name","id"
"Adelschlag","8000419"
"Adelebsen","8000418"
"Abensberg","8000410"
"Achmer","8000414"
"Achern","8000412"
"Achim","8000413"
"Aachen West","8000404"
"Aalen Hbf","8000002"
"Adelsdorf (Mittelfr)","8000420"
"Adelsheim Nord","8000423"
"Affaltrach","8000431"
"Adorf (Vogtl)","8010001"
"Adelsheim Ost","8000424"
"Aachen-Rothe Erde","8000406"
"Agatharied","8000433"
"Aha","8000436"
"Agathenburg","8000434"
"Ahlhorn","8000442"
"Ahaus","8000437"
"Ahlen (Westf)","8000441"
"Ahlten (Han)","8000443"
"Ahrensfelde Friedhof","8011004"
"Aachen Hbf","8000001"
"Ahrensfelde Nord","8011005"
"Ahrensfelde","8011003"
"Ahrensburg","8000446"
"Ahrweiler Markt","8000449"
"Aichstetten","8000454"
"Ahrweiler","8000448"
"Aichach","8000452"
"Ainring","8000459"
"Albersdorf","8000464"
"Münster-Albachten","8000462"
"Albbruck","8000463"
"Albersweiler (Pfalz)","8000466"
"Albig","8000468"
"Albshausen","8000471"
"Albrechtshof","8080040"
"Aletshausen","8000482"
"Albstadt-Laufen Ort","8000474"
"Albstadt-Lautlingen","8000475"
"Aldekerk","8000477"
"Albstadt-Ebingen","8000473"
"Alfeld (Leine)","8000483"
"Allendorf (Dillkr)","8000492"
"Algermissen","8000488"
"Alpen","8000500"
"Aligse","8000489"
"Allmendingen","8000499"
"Allensbach","8000496"
"Alsenz","8000505"
"Alpirsbach","8000501"
"Alt Hüttendorf","8011011"
"Alt Rosenthal","8011014"
"Alsfeld (Oberhess)","8000350"
"Alsheim","8000506"
"Altdorf West (b Nürnberg)","8000504"
"Altdöbern","8011016"
"Alte Veste","8000511"
"Altdorf (b Nürnberg)","8000509"
"Altbach","8000508"
"Altefähr","8011017"
"Altenahr","8000514"
"Altenau (Bay)","8000515"
"Altenbamberg","8000517"
"Altenbach","8011018"
"Kurort Altenberg (Erzgeb)","8011019"
"Altenbeken","8000004"
"Felsberg-Altenbrunslar","8000520"
"Altena (Westf)","8000513"
"Altenberge","8000518"
"Halle MESSE","8010155"
"Altenfeld (Rhön)","8000525"
"Altenerding","8000524"
"Altenglan","8000491"
"Alte Wöhr","8000512"
"Altengörs","8000526"
"Altenburg","8010003"
"Allersberg (Rothsee)","8000498"
"Lennestadt-Altenhundem","8000532"
